folioviv,foliohog,numren,ambito,sinco,factor_w,tam_hogar,dependientes,ingreso_pc_mensual,linea_pobreza,linea_pobreza_extrema,_bajo_lp,_bajo_lpei
0501883006,1,01,urbano,2544,282,3,2,12940.913333333332,4660.52,2366.33,0.0,0.0
0501890605,1,01,urbano,2144,298,1,0,71663.1,4660.52,2366.33,0.0,0.0
0501896701,1,01,urbano,7313,271,1,0,40398.02,4660.52,2366.33,0.0,0.0
0501907604,1,01,urbano,2544,330,2,1,86299.175,4660.52,2366.33,0.0,0.0
0501908806,1,01,urbano,3222,314,2,1,47598.815,4660.52,2366.33,0.0,0.0
0501915705,1,01,urbano,5212,242,3,2,23762.293333333335,4660.52,2366.33,0.0,0.0
0501921405,1,01,urbano,2131,257,1,0,148632.52,4660.52,2366.33,0.0,0.0
0501923804,1,01,urbano,2162,239,1,0,82482.41,4660.52,2366.33,0.0,0.0
0501928701,1,01,urbano,2271,256,6,5,14401.638333333334,4660.52,2366.33,0.0,0.0
0501952904,1,01,urbano,5212,236,3,2,7951.786666666667,4660.52,2366.33,0.0,0.0
0501968503,1,01,urbano,5212,260,1,0,31779.27,4660.52,2366.33,0.0,0.0
0501973204,1,01,urbano,7343,275,6,5,25088.433333333334,4660.52,2366.33,0.0,0.0
0501974806,1,01,urbano,7223,278,3,2,24131.14333333333,4660.52,2366.33,0.0,0.0
0501980303,1,01,urbano,2162,245,7,6,6236.86,4660.52,2366.33,0.0,0.0
0501987701,1,01,urbano,2173,250,3,2,19906.063333333335,4660.52,2366.33,0.0,0.0
0501994703,1,01,urbano,5212,271,2,1,19375.285,4660.52,2366.33,0.0,0.0
0502001002,1,01,urbano,1322,326,2,1,74836.95,4660.52,2366.33,0.0,0.0
0502009601,1,01,urbano,4312,215,7,6,12667.44,4660.52,2366.33,0.0,0.0
0502013006,1,01,urbano,2172,261,5,4,17423.129999999997,4660.52,2366.33,0.0,0.0
0502026904,1,01,urbano,5212,303,2,1,22878.495,4660.52,2366.33,0.0,0.0
0502027715,1,01,urbano,2655,307,5,4,13048.558,4660.52,2366.33,0.0,0.0
0562034303,1,01,rural,2172,129,2,1,65795.545,3342.21,1795.77,0.0,0.0
0562039205,1,01,rural,2271,80,5,4,40831.144,3342.21,1795.77,0.0,0.0
0562039716,1,01,rural,7201,80,3,2,42073.41333333334,3342.21,1795.77,0.0,0.0
0562059407,1,01,rural,4312,91,5,4,24743.68,3342.21,1795.77,0.0,0.0
0602068401,1,01,urbano,2172,84,3,2,31136.566666666666,4660.52,2366.33,0.0,0.0
0602069020,1,01,urbano,2172,99,2,1,28274.2,4660.52,2366.33,0.0,0.0
0602077302,1,01,urbano,1721,112,3,2,11888.053333333335,4660.52,2366.33,0.0,0.0
0602081906,1,01,urbano,2544,84,2,1,23191.755,4660.52,2366.33,0.0,0.0
0602083902,1,01,urbano,2655,165,2,1,120323.66,4660.52,2366.33,0.0,0.0
0602094806,1,01,urbano,2271,120,4,3,25684.4225,4660.52,2366.33,0.0,0.0
0602100005,1,01,urbano,2625,120,5,4,33242.56,4660.52,2366.33,0.0,0.0
0602106001,1,01,urbano,2271,95,4,3,15857.2875,4660.52,2366.33,0.0,0.0
0602106003,1,01,urbano,7342,95,3,2,10530.456666666667,4660.52,2366.33,0.0,0.0
0602110203,1,01,urbano,7313,93,2,1,15211.675,4660.52,2366.33,0.0,0.0
0602116304,1,01,urbano,2625,106,4,3,25977.555,4660.52,2366.33,0.0,0.0
0602127302,1,01,urbano,2161,109,1,0,48858.06,4660.52,2366.33,0.0,0.0
